"Código","DEPARTAMENTO","Provincia","PROVINCIA_LIMPIA","%_Paredes_Ladrillo","%_Techos_Concreto","%_Pisos_Materiales","%_Pisos_Buenos","indice_aritmetico","INDICE_ALGEBRAICO","DEPARTAMENTO_FALLECIMIENTO","RATIO","Region","FUERZA POPULAR","PARTIDO POLITICO NACIONAL PERU LIBRE","ratio_keiko_castillo"
"2113","PUNO","Puno, provincia: Yunguyo","YUNGUYO",14.1532647860093,10.7830213551279,60.7566569997364,39.2433430002636,21.3932097138003,-0.0983790604826614,"PUNO",1.440217391,"PUNO",0.0811,0.9189,0.0882576994232234
"2201","SAN MARTIN","San Martín, provincia: Moyobamba","MOYOBAMBA",45.9763646595385,14.7219299747988,71.3023904479949,28.6976095520051,29.7986347287808,1.14228147975131,"SAN MARTIN",1.534562212,"SAN MARTIN",0.427,0.573,0.745200698080279
"2202","SAN MARTIN","San Martín, provincia: Bellavista","BELLAVISTA",27.9330222344222,6.00054899807851,77.2604995882514,22.7395004117486,18.8910238814164,-0.141409398491113,"SAN MARTIN",1.663461538,"SAN MARTIN",0.3622,0.6378,0.567889620570712
"2203","SAN MARTIN","San Martín, provincia: El Dorado","EL DORADO",22.7208976157083,1.58017765310893,84.9742870500234,15.0257129499766,13.1089294062646,-0.730239913373651,"SAN MARTIN",2.420289855,"SAN MARTIN",0.3859,0.6141,0.628399283504315
"2204","SAN MARTIN","San Martín, provincia: Huallaga","HUALLAGA",31.2131288211949,4.94476027029926,80.8967070685402,19.1032929314598,18.4203940076513,-0.141563687391799,"SAN MARTIN",1.450549451,"SAN MARTIN",0.4156,0.5844,0.711156741957563
"2205","SAN MARTIN","San Martín, provincia: Lamas","LAMAS",28.833888242609,2.42288098198885,84.0426812146496,15.9573187853504,15.7380293366494,-0.430373855605373,"SAN MARTIN",0.9475524476,"SAN MARTIN",0.4543,0.5457,0.832508704416346
"2206","SAN MARTIN","San Martín, provincia: Mariscal Cáceres","MARISCAL CACERES",35.5870124727777,11.6313601267076,75.6533359730746,24.3466640269253,23.8550122088035,0.489786465019996,"SAN MARTIN",2.301886792,"SAN MARTIN",0.4422,0.5578,0.792757260666906
"2207","SAN MARTIN","San Martín, provincia: Picota","PICOTA",29.3107396381956,4.34317990993054,77.9864132508969,22.0135867491031,18.5558354324097,-0.191654834791189,"SAN MARTIN",2.042253521,"SAN MARTIN",0.4597,0.5403,0.850823616509347
"2208","SAN MARTIN","San Martín, provincia: Rioja","RIOJA",43.0188311054737,13.6574299931701,73.7657332422675,26.2342667577325,27.6368426187921,0.922993027305774,"SAN MARTIN",1.255154639,"SAN MARTIN",0.3906,0.6094,0.640958319658681
"2209","SAN MARTIN","San Martín, provincia: San Martín","SAN MARTIN",50.269180125673,15.1540910378852,64.5598946613997,35.4401053386003,33.6211255007195,1.46136012349758,"SAN MARTIN",1.466424682,"SAN MARTIN",0.5335,0.4665,1.14362272240086
"2210","SAN MARTIN","San Martín, provincia: Tocache","TOCACHE",40.7757018487724,12.545241122958,84.9848381101438,15.0151618898562,22.7787016205289,0.560314192011595,"SAN MARTIN",1.744525547,"SAN MARTIN",0.3348,0.6652,0.503307276007216
"2301","TACNA","Tacna, provincia: Tacna","TACNA",56.5119020597043,37.0139046517247,51.0357098401587,48.9642901598413,47.4966989570901,3.14421511488768,"TACNA",1.469646431,"TACNA",0.2843,0.7157,0.397233477714126
"2302","TACNA","Tacna, provincia: Candarave","CANDARAVE",4.30686406460296,1.92911619560341,53.9928218932257,46.0071781067743,17.4143861223269,-0.82749106104604,"TACNA",1.411764706,"TACNA",0.097,0.903,0.107419712070875
"2303","TACNA","Tacna, provincia: Jorge Basadre","JORGE BASADRE",23.307757885763,17.7152600170503,38.8405797101449,61.1594202898551,34.0608127308895,1.05186995041909,"TACNA",0.8260869565,"TACNA",0.1742,0.8258,0.210946960523129
"2304","TACNA","Tacna, provincia: Tarata","TARATA",3.75906792701693,1.34095405583645,50.0769399868103,49.9230600131897,18.3410273320144,-0.805125996487927,"TACNA",1.15,"TACNA",0.1447,0.8553,0.16918040453642
"2401","TUMBES","Tumbes, provincia: Tumbes","TUMBES",39.5034243344716,15.3312076674905,65.4170518649888,34.5829481350112,29.8058600456578,1.03809988390347,"TUMBES",1.69239905,"TUMBES",0.6297,0.3703,1.70051309748852
"2402","TUMBES","Tumbes, provincia: Contralmirante Villar","CONTRALMIRANTE VILLAR",28.8003827293386,6.63796196627198,61.0572897978711,38.9427102021289,24.7936849659132,0.238291894831551,"TUMBES",1.254545455,"TUMBES",0.727,0.273,2.66300366300366
"2403","TUMBES","Tumbes, provincia: Zarumilla","ZARUMILLA",39.1629683145835,9.4643410052637,63.8765610486118,36.1234389513882,28.2502494237451,0.737536475759979,"TUMBES",2.151162791,"TUMBES",0.7265,0.2735,2.6563071297989
"2501","UCAYALI","Ucayali, provincia: Coronel Portillo","CORONEL PORTILLO",21.2442636915721,6.55473422915922,75.9015507497275,24.0984492502725,17.2991490570013,-0.343992013513373,"UCAYALI",1.817668207,"UCAYALI",0.55,0.45,1.22222222222222
"2502","UCAYALI","Ucayali, provincia: Atalaya","ATALAYA",9.20051188792349,2.0542870613592,80.238432006466,19.761567993534,10.3387889809389,-1.13638334268639,"UCAYALI",1.090909091,"UCAYALI",0.5371,0.4629,1.16029379995679
"2503","UCAYALI","Ucayali, provincia: Padre Abad","PADRE ABAD",18.3051477420554,5.30105928266122,67.6732949265936,32.3267050734064,18.6443040327077,-0.367108262058985,"UCAYALI",1.033333333,"UCAYALI",0.3088,0.6912,0.446759259259259
"2504","UCAYALI","Ucayali, provincia: Purús","PURUS",1.19521912350598,0,68.0278884462151,31.9721115537849,11.0557768924303,-1.32207558891065,NA,NA,"UCAYALI",0.7407,0.2593,2.85653682992673
